"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",19.9257705970672,2.07895236083087,2008,9.58452486573752,2.63294575200358e-21
"instruction1",9.98770057784286,0.842127374111336,2008,11.8600830288678,2.07751373225261e-31
"valence1",28.5886892165771,0.84212737411134,2008,33.9481770756419,4.92117553808097e-200
"Treatment1",-1.14836735363919,4.29349773886844,29,-0.267466625926731,0.79100298863339
"TAS.20_z",-0.858572273536344,2.09445609521368,29,-0.409926126166303,0.684872668043223
"instruction1:valence1",11.9495192307692,1.68188705893248,2008,7.10482857175547,1.6662526264739e-12
"instruction1:Treatment1",2.36531176884787,1.73917981224988,2008,1.36001565346369,0.173977639616085
"valence1:Treatment1",-6.10222100260046,1.73917981224988,2008,-3.50867745797162,0.000460254172908467
"instruction1:TAS.20_z",-0.390245924399845,0.848407517596446,2008,-0.459974618689635,0.64558423838058
"valence1:TAS.20_z",-1.05926470103559,0.848407517596444,2008,-1.24853290319316,0.211981513894173
"instruction1:valence1:Treatment1",-2.52403846153844,3.36377411786494,2008,-0.750359082714063,0.453126379694735
